entity_id	label	entity_family	reason
1	World War I	unknown	unknown_family
2	World War II	unknown	unknown_family
3	atomic bombings of Hiroshima and Nagasaki	unknown	unknown_family
4	food	unknown	unknown_family
10	May 68	unknown	unknown_family
24	Stonewall riots	unknown	unknown_family
40	Rattenfänger von Hameln	work	missing_catalog_date
94	Don Juan	unknown	unknown_family
112	Satyricon	work	missing_catalog_date
217	Columbine High School massacre	unknown	unknown_family
227	homunculus	unknown	unknown_family
243	Daigo Fukuryū Maru	unknown	unknown_family
301	Civil Rights Act of 1964	unknown	unknown_family
331	Motion Picture Production Code	unknown	unknown_family
477	drive-in theater	unknown	unknown_family
492	Q819391	work	raw_qid_label
497	Q830316	group	raw_qid_label
499	Q830586	group	raw_qid_label
533	Kinsey Reports	work	missing_catalog_date
536	Q875920	organization	raw_qid_label
648	Metamorphoseon	work	missing_catalog_date
665	Q1079267	group	raw_qid_label
810	Q1228431	work	raw_qid_label
853	Q1361146	group	raw_qid_label
885	Q1433745	organization	raw_qid_label
1016	Warsaw Pact invasion of Czechoslovakia	unknown	unknown_family
1116	Motion Picture Association film rating system	unknown	unknown_family
1181	Punch and Judy	work	missing_catalog_date
1200	Dingo	work	missing_catalog_date
1304	home video	unknown	unknown_family
1417	Freak Show	work	missing_catalog_date
1486	The Screens	work	missing_catalog_date
1574	Splendid's	work	missing_catalog_date
1801	Q4155582	work	raw_qid_label
1807	Q4164445	work	raw_qid_label
1811	Q4173662	group	raw_qid_label
1822	Q4204008	work	raw_qid_label
1826	Q4229872	group	raw_qid_label
1827	Q4230048	work	raw_qid_label
1831	Q4242872	work	raw_qid_label
1833	Q4290587	work	raw_qid_label
1841	Q4335737	group	raw_qid_label
1851	Q4373582	group	raw_qid_label
1854	Q4379262	work	raw_qid_label
1857	Q4381593	work	raw_qid_label
1862	Q4391535	work	raw_qid_label
1867	Q4402952	work	raw_qid_label
1872	Q4427643	work	raw_qid_label
1874	Q4428249	group	raw_qid_label
